,popularity,vote_count,id_x,adult,original_language,title,vote_average,overview,MPAA,year,month,studio,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres,avg_rating_imdb,num_votes_imdb,actors,directors,producers,editors,writers,primary_genre,secondary_genre,new_genre,worldwide_gross_z,domestic_gross_z
1082,11.333,896,144336,False,en,sabotage,5.5,"John ""Breacher"" Wharton leads an elite DEA task force that takes on the world's deadliest drug cartels. When the team successfully executes a high-stakes raid on a cartel safe house, they think their work is done – until, one-by-one, the team members mysteriously start to be eliminated. As the body count rises, everyone is a suspect.",R,2014,03,,35.0,10.51,18.38,tt1742334,sabotage,Sabotage,2014,109.0,"Action,Crime,Drama",5.7,55597,"Sam Worthington,Terrence Howard,Olivia Williams,Arnold Schwarzenegger",David Ayer,"Ethan Smith,Bill Block,Paul Hanson,Palak Patel",,Skip Woods,Action,Crime,Action,-0.636111545891473,-0.6819182317227451
1083,10.766,438,144340,False,en,admission,5.5,"Straitlaced Princeton University admissions officer, Portia Nathan is caught off-guard when she makes a recruiting visit to an alternative high school overseen by her former college classmate, the freewheeling John Pressman. Pressman has surmised that Jeremiah, his gifted yet very unconventional student, might well be the son that Portia secretly gave up for adoption many years ago.",PG-13,2013,03,Focus,13.0,18.01,18.73,tt1814621,admission,Admission,2013,107.0,"Comedy,Drama,Romance",5.7,31849,"Paul Rudd,Tina Fey,Nat Wolff,Gloria Reuben",Paul Weitz,"Andrew Miano,Kerry Kohansky-Roberts",,"Karen Croner,Jean Hanff Korelitz",Comedy,Drama,Comedy,-0.6345625374155814,-0.5892898451329038
1085,13.453,1180,145135,False,en,dark skies,6.2,"From the producers of Paranormal Activity, Insidious, and Sinister comes Dark Skies: a supernatural thriller that follows a young family living in the suburbs. As husband and wife Daniel and Lacey Barret witness an escalating series of disturbing events involving their family, their safe and peaceful home quickly unravels. When it becomes clear that the Barret family is being targeted by an unimaginably terrifying and deadly force, Daniel and Lacey take matters in their own hands to solve the mystery of what is after their family.",PG-13,2013,02,W/Dim.,3.5,17.42,27.7,tt2387433,dark skies,Dark Skies,2013,97.0,"Horror,Sci-Fi,Thriller",6.3,65754,"Keri Russell,Josh Hamilton,Jake Brennan,Dakota Goyo",Scott Stewart,Jason Blum,Peter Gvozdas,,Horror,Sci-Fi,Horror,-0.5948636630477306,-0.596576611544638
1087,10.487,554,145220,False,en,muppets most wanted,6.3,"While on a grand world tour, The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick.",PG,2014,03,BV,55.0,51.18,79.31,tt2281587,muppets most wanted,Muppets Most Wanted,2014,107.0,"Adventure,Comedy,Crime",6.4,29018,"Tina Fey,Ricky Gervais,Ty Burrell,Steve Whitmire",James Bobin,"David Hoberman,Todd Lieberman",,"Nicholas Stoller,Jim Henson",Adventure,Comedy,Adventure,-0.3664512989312553,-0.17962536737489948
1090,13.77,1465,146198,False,en,triple 9,5.9,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,R,2016,02,ORF,20.0,12.64,25.94,tt1712261,triple 9,Triple 9,2016,115.0,"Crime,Thriller",6.3,60369,"Casey Affleck,Chiwetel Ejiofor,Anthony Mackie,Aaron Paul",John Hillcoat,"Keith Redmon,Marc Butan,Bard Dorros,Anthony Katagas",,Matt Cook,Crime,Thriller,Crime,-0.6026529628122141,-0.6556117699312302
1091,12.168,342,146203,False,en,the last exorcism part ii,4.5,"As Nell Sweetzer tries to build a new life after the events of the first movie, the evil force that once possessed her returns with an even more horrific plan.",PG-13,2013,02,CBS,4.0,15.18,25.45,tt2034139,the last exorcism part ii,The Last Exorcism Part II,2013,88.0,"Drama,Horror,Thriller",4.0,15124,"Ashley Bell,Julia Garner,Spencer Treat Clark,David Jensen",Ed Gass-Donnelly,"Marc Abraham,Thomas A. Bliss",,"Huck Botko,Andrew Gurland,Damien Chazelle",Drama,Horror,Drama,-0.6048215746784624,-0.6242416230061373
1092,19.495,2789,146216,False,en,red 2,6.5,Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,PG-13,2013,07,LG/S,84.0,53.26,141.51,tt1821694,red 2,RED 2,2013,116.0,"Action,Comedy,Crime",6.6,148846,"Helen Mirren,Anthony Hopkins,John Malkovich,Bruce Willis",Dean Parisot,Lorenzo di Bonaventura,,"Warren Ellis,Jon Hoeber,Erich Hoeber,Cully Hamner",Action,Comedy,Action,-0.0911703640728023,-0.1539364281606502
1094,11.944,444,146227,False,en,getaway,5.1,"Former race car driver Brent Magna is pitted against the clock. Desperately trying to save the life of his kidnapped wife, Brent commandeers a custom Ford Shelby GT500 Super Snake, taking it and its unwitting owner on a high-speed race against time, at the command of the mysterious villain holding his wife hostage.",PG-13,2013,08,,18.0,10.5,11.81,tt2167202,getaway,Getaway,2013,90.0,"Action,Crime,Thriller",4.4,22157,"Ethan Hawke,Selena Gomez,Jon Voight,Paul Freeman",Courtney Solomon,"Moshe Diamant,Allan Zeman,Christopher Milburn",,"Sean Finegan,Gregg Maxwell Parker",Action,Crime,Action,-0.66518864785321,-0.6820417362381982
1096,26.904,7101,146233,False,en,prisoners,8.0,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?",,2013,09,WB,46.0,61.0,113.4,tt1392214,prisoners,Prisoners,2013,153.0,"Crime,Drama,Mystery",8.1,526273,"Hugh Jackman,Melissa Leo,Viola Davis,Jake Gyllenhaal",Denis Villeneuve,"Broderick Johnson,Andrew A. Kosove,Kira Davis,Adam Kolbrenner",,Aaron Guzikowski,Crime,Drama,Crime,-0.2155778733794118,-0.058343933199934035
1097,13.546,874,146238,False,en,runner runner,5.7,"When a poor college student who cracks an online poker game goes bust, he arranges a face-to-face with the man he thinks cheated him, a sly offshore entrepreneur.",R,2013,09,Fox,30.0,19.32,60.51,tt2364841,runner runner,Runner Runner,2013,88.0,"Crime,Thriller",5.6,58235,"Anthony Mackie,Justin Timberlake,Gemma Arterton,Ben Affleck",Brad Furman,"Arnon Milchan,Leonardo DiCaprio,Jennifer Davisson",,"Brian Koppelman,David Levien",Crime,Thriller,Crime,-0.4496551827791479,-0.5731107536085449
1098,9.385,996,146239,False,en,delivery man,6.2,An affable underachiever finds out he's fathered 533 children through anonymous donations to a fertility clinic 20 years ago. Now he must decide whether or not to come forward when 142 of them file a lawsuit to reveal his identity.,PG-13,2013,10,BV,22.0,30.66,70.54,tt2387559,delivery man,Delivery Man,2013,105.0,"Comedy,Drama",6.4,70706,"Chris Pratt,Jack Reynor,Vince Vaughn,Cobie Smulders",Ken Scott,André Rouleau,Priscilla Nedd-Friendly,Martin Petit,Comedy,Drama,Comedy,-0.4052650255985966,-0.4330566330847051
1100,10.935,923,146301,False,en,paranormal activity: the ghost dimension,5.3,"Using a special camera that can see spirits, a family must protect their daughter from an evil entity with a sinister plan.",R,2015,10,Par.,10.0,18.3,77.96,tt2473510,paranormal activity: the ghost dimension,Paranormal Activity: The Ghost Dimension,2015,88.0,"Horror,Mystery,Thriller",4.6,22361,"Dan Gill,Chris J. Murray,Brit Shaw,Ivy George",Gregory Plotkin,,,"Jason Pagan,Andrew Deutschman,Brantley Aufill,Adam Robitel,Gavin Heffernan",Horror,Mystery,Horror,-0.3724260459096944,-0.5857082141847634
1101,9.479,176,146304,False,en,the best man holiday,6.6,"When college friends reunite after 15 years over the Christmas holidays, they discover just how easy it is for long-forgotten rivalries and romances to be reignited.",R,2013,11,Uni.,17.0,70.53,72.84,tt2083355,the best man holiday,The Best Man Holiday,2013,123.0,"Comedy,Drama",6.7,13967,"Morris Chestnut,Monica Calhoun,Melissa De Sousa,Taye Diggs",Malcolm D. Lee,Sean Daniel,Paul Millspaugh,,Comedy,Drama,Comedy,-0.3950858270427375,0.05935587002689088
