,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
382,Young Frankenstein,1974,8.0,80.0,139525,86.3,106
383,Beauty and the Beast,1991,8.0,95.0,408582,218.97,84
384,Halloween,1978,7.8,87.0,220700,47.0,91
385,Before Sunrise,1995,8.1,77.0,259381,5.54,101
386,500 Days of Summer,2009,7.7,76.0,461714,32.39,95
387,The Secret in Their Eyes,2009,8.2,80.0,186125,6.39,129
388,The Game,1997,7.8,61.0,334088,48.32,129
389,Y Tu Mamá También,2001,7.6,88.0,112879,13.62,106
390,Ray,2004,7.7,73.0,135296,75.33,152
391,Kiki's Delivery Service,1989,7.8,83.0,115701,,103
392,Match Point,2005,7.6,72.0,201726,23.09,124
393,The Crow,1994,7.6,71.0,162682,50.69,102
394,Memories of Murder,2003,8.1,82.0,125248,0.01,132
395,North by Northwest,1959,8.3,98.0,289213,13.28,136
396,Das Boot,1981,8.3,86.0,224415,11.49,149
397,Blood Diamond,2006,8.0,64.0,486597,57.37,143
398,As Good as It Gets,1997,7.7,67.0,268323,148.48,139
399,Downfall,2004,8.2,82.0,322631,5.51,156
400,The Fly,1986,7.6,79.0,154273,40.46,96
401,District 9,2009,7.9,81.0,627667,115.65,112
402,Mr. Nobody,2009,7.8,63.0,210284,0.0,141
403,Raging Bull,1980,8.2,89.0,311193,23.38,129
404,Grave of the Fireflies,1988,8.5,94.0,221907,,89
405,Incendies,2010,8.3,80.0,140160,6.86,131
406,Blow,2001,7.6,52.0,235122,52.99,124
407,Rosemary's Baby,1968,8.0,96.0,185560,,137
408,This Is Spinal Tap,1984,7.9,92.0,125857,0.19,82
409,The King's Speech,2010,8.0,88.0,624767,138.8,118
410,Star Trek II: The Wrath of Khan,1982,7.7,67.0,110054,78.91,113
411,Fantastic Mr. Fox,2009,7.9,83.0,191067,21.0,87
412,Man on Fire,2004,7.7,47.0,322004,77.91,146
413,Dangal,2016,8.4,,144618,12.39,161
414,The Elephant Man,1980,8.1,78.0,212700,,124
415,Changeling,2008,7.7,63.0,232013,35.74,141
416,The Jungle Book,1967,7.6,65.0,161240,141.84,78
